,GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food,cook,comfort_food_reasons_coded,cuisine,diet_current_coded,drink,eating_changes_coded,eating_out,employment,ethnic_food,exercise,fav_cuisine_coded,fav_food,food_childhood,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
103,3.7,1,1,610,3.0,420.0,2,"dark chocolate, terra chips, reese's cups(dark chocolate), and bread/crackers with cottage cheese",2.0,5,1.0,1,1.0,1,2,2.0,5,2.0,8,1.0,Tortellini and Broccoli with parmesan cheese and homemade breaded chicken with sweet potato,1,5,3,3,4,2,4.0,5,5,8.0,1.0,4,1.0,2.0,3,3.0,6.0,1.0,2.0,3,725.0,345,5,1,760,130.0
107,3.8,1,1,430,3.0,420.0,1,"Chocolate, Pasta, Cookies",2.0,1,1.0,1,1.0,1,2,2.0,4,1.0,1,3.0,dino chicken nuggets,1,4,2,3,5,2,4.0,3,5,4.0,1.0,2,1.0,1.0,3,2.0,4.0,1.0,2.0,5,1165.0,690,4,2,900,165.0
108,3.8,1,1,430,2.0,420.0,2,"Candy, salty snacks, toast",5.0,1,1.0,1,2.0,1,2,3.0,2,1.0,1,2.0,Spaghetti and chicken parm,1,5,2,2,6,1,6.0,5,5,5.0,2.0,4,1.0,2.0,3,2.0,3.0,1.0,1.0,2,580.0,345,5,2,760,128.0
109,3.4,1,1,610,3.0,420.0,2,"Mac in cheese, pizza, mozzarella sticks ",2.0,1,1.0,2,2.0,2,3,2.0,2,3.0,1,2.0,Chicken parm. ,1,4,2,2,5,2,6.0,1,5,1.0,1.0,4,1.0,2.0,3,1.0,5.0,1.0,2.0,2,940.0,690,3,1,1315,200.0
110,3.7,1,1,610,3.0,315.0,1,"Ice-cream, pizza, chocolate",3.0,3,2.0,2,1.0,1,4,3.0,3,2.0,1,1.0,Spaghetti,1,3,4,4,8,2,3.0,3,5,9.0,2.0,3,2.0,2.0,4,4.0,3.0,1.0,1.0,3,580.0,690,3,2,900,160.0
111,2.9,2,1,265,2.0,980.0,2,"snacks, chips, ",2.0,2,1.0,1,2.0,2,2,2.0,3,2.0,0,1.0,"Pizza, Pita, Lasagna",1,3,3,5,9,2,5.0,1,3,7.0,1.0,4,3.0,1.0,6,1.0,3.0,1.0,2.0,1,725.0,345,3,2,1315,170.0
112,3.9,1,1,610,4.0,315.0,2,"Chocolate, Ice cream, pizza",1.0,3,1.0,1,1.0,2,4,3.0,5,1.0,1,3.0,"Mac & Cheese, Chicken, Stir Fry ",1,5,4,5,10,4,6.0,5,5,9.0,2.0,4,1.0,2.0,3,5.0,3.0,1.0,2.0,5,725.0,500,3,2,900,129.0
113,3.6,1,1,430,2.0,420.0,1,"ice cream, pizza, Chinese food ",2.0,2,1.0,2,2.0,1,3,2.0,3,2.0,1,1.0,Mac and Cheese ,1,4,4,3,9,7,6.0,2,5,1.0,2.0,4,1.0,2.0,3,3.0,4.0,1.0,2.0,2,1165.0,690,2,2,900,170.0
114,2.8,2,1,610,3.0,315.0,2,"Burgers, indian and korean food",3.0,3,4.0,2,2.0,1,3,3.0,4,2.0,4,3.0,"Dumplings, Chicken Curry and Pizza",1,4,2,3,7,2,3.0,5,4,7.0,2.0,3,1.0,1.0,5,3.0,1.0,1.0,1.0,5,940.0,850,3,2,760,138.0
115,3.3,2,1,610,4.0,980.0,2,"chocolate bar, ice cream, pretzels, potato chips and protein bars.",4.0,1,1.0,2,2.0,1,2,2.0,2,1.0,0,3.0,"Pasta, Pizza, Popcorn",1,5,1,1,10,3,6.0,1,4,10.0,2.0,1,1.0,1.0,5,2.0,2.0,1.0,1.0,1,1165.0,690,2,2,1315,150.0
116,3.4,1,1,610,3.0283018867924527,420.0,2,"Ice cream, chocolate, pizza, cucumber ",3.0,2,1.0,2,1.0,1,4,3.0,4,2.0,4,2.0,"Fry Chicken, Rice Vegetable",1,5,1,1,5,5,1.0,3,5,2.0,1.0,2,1.0,2.0,3,1.0,4.0,1.0,2.0,5,725.0,345,5,1,1315,170.0
117,3.77,1,1,610,3.0283018867924527,315.0,2,"Noodle ( any kinds of noodle), Tuna sandwich, and Egg.",3.0,5,4.0,1,1.0,2,2,2.0,4,1.0,4,3.0,"Noodle, Wings, and Tiramisu",1,3,2,2,9,2,2.0,2,4,7.0,1.0,2,1.0,1.0,2,2.0,4.0,1.0,2.0,5,725.0,690,3,1,760,113.0
118,3.63,1,1,430,3.0,420.0,1,"Chinese, chips, cake",3.0,1,1.0,2,1.0,2,2,2.0,4,2.0,5,1.0,Chinese,1,5,2,3,5,5,3.0,3,5,8.0,2.0,2,3.0,3.0,4,2.0,4.0,1.0,2.0,4,940.0,345,5,2,1315,140.0
119,3.2,2,1,610,3.0,420.0,2,"chips, rice, chicken curry,",2.0,7,5.0,2,1.0,2,2,2.0,5,2.0,8,3.0,"pizza, burger, pasta",1,5,4,5,7,3,2.0,5,5,6.0,2.0,2,1.0,1.0,3,5.0,4.0,1.0,1.0,5,1165.0,690,5,2,1315,185.0
120,3.5,1,1,610,4.0,420.0,2,"wine. mac and cheese, pizza, ice cream ",3.0,2,1.0,2,2.0,1,2,1.0,4,2.0,1,1.0,Stromboli Mac and Cheese and Pizza,1,5,4,5,5,6,4.0,3,5,7.0,1.0,5,3.0,1.0,4,3.0,4.0,1.0,1.0,5,940.0,500,5,1,1315,156.0
122,3.882,1,1,720,3.0283018867924527,420.0,1,"rice, potato, seaweed soup",3.0,3,1.0,2,1.0,1,3,3.0,5,2.0,4,1.0,Rice and potato,1,4,3,5,6,2,2.0,5,3,10.0,1.0,3,1.0,2.0,4,5.0,4.0,1.0,2.0,5,580.0,690,4,2,1315,120.0
123,3.0,2,1,720,4.0,420.0,1,"Mac n Cheese, Lasagna, Pizza",3.0,7,1.0,1,2.0,1,5,2.0,2,1.0,1,3.0,pizza and spaghetti ,1,5,1,1,1,6,4.0,1,5,1.0,1.0,4,1.0,2.0,3,1.0,2.0,2.0,2.0,1,940.0,500,3,1,1315,135.0
